structure,x,z,coordinate_kind
spawn,224,240,block
village,-2248,1544,block
village,-1704,-920,block
village,-1816,840,block
village,-1832,1576,block
village,-1432,-2296,block
village,-1000,1544,block
village,-664,2360,block
village,-152,1640,block
village,200,-216,block
village,232,280,block
village,1096,-1448,block
village,1272,-904,block
village,1064,1912,block
village,2424,-1448,block
village,2136,360,block
village,2184,760,block
village,2408,2424,block
DesertPyramid,-1832,1256,block
SwampHut,-1416,-2488,block
DesertPyramid,-1448,1160,block
SwampHut,-1304,2376,block
SwampHut,-776,-904,block
SwampHut,568,792,block
SwampHut,600,1064,block
SwampHut,744,2328,block
woodland_mansion,-1752,-1784,block
woodland_mansion,-1512,-1240,block
woodland_mansion,-1240,-376,block
woodland_mansion,-376,984,block
woodland_mansion,-248,1832,block
woodland_mansion,952,1880,block
ocean_monument,-2280,-280,block
ocean_monument,-2376,2072,block
ocean_monument,-168,-2424,block
ocean_monument,-744,1144,block
ocean_monument,856,-472,block
ocean_monument,1096,216,block
stronghold_seedra_default_1,-764,-172,block
stronghold_count3_audit,-764,-172,block
stronghold_count3_audit,884,-684,block
stronghold_count3_audit,212,932,block
mineshaft_chunk,-2552,920,chunk
mineshaft_center,-40824,14728,block_center
mineshaft_chunk,-2536,-1592,chunk
mineshaft_center,-40568,-25464,block_center
mineshaft_chunk,-2536,2328,chunk
mineshaft_center,-40568,37256,block_center
mineshaft_chunk,-2504,-888,chunk
mineshaft_center,-40056,-14200,block_center
mineshaft_chunk,-2488,1304,chunk
mineshaft_center,-39800,20872,block_center
mineshaft_chunk,-2456,-568,chunk
mineshaft_center,-39288,-9080,block_center
mineshaft_chunk,-2456,424,chunk
mineshaft_center,-39288,6792,block_center
mineshaft_chunk,-2456,1496,chunk
mineshaft_center,-39288,23944,block_center
mineshaft_chunk,-2456,2504,chunk
mineshaft_center,-39288,40072,block_center
mineshaft_chunk,-2440,-2520,chunk
mineshaft_center,-39032,-40312,block_center
mineshaft_chunk,-2440,-40,chunk
mineshaft_center,-39032,-632,block_center
mineshaft_chunk,-2424,-1144,chunk
mineshaft_center,-38776,-18296,block_center
mineshaft_chunk,-2408,-728,chunk
mineshaft_center,-38520,-11640,block_center
mineshaft_chunk,-2392,1448,chunk
mineshaft_center,-38264,23176,block_center
mineshaft_chunk,-2360,-1464,chunk
mineshaft_center,-37752,-23416,block_center
mineshaft_chunk,-2360,408,chunk
mineshaft_center,-37752,6536,block_center
mineshaft_chunk,-2344,-1864,chunk
mineshaft_center,-37496,-29816,block_center
mineshaft_chunk,-2296,1208,chunk
mineshaft_center,-36728,19336,block_center
mineshaft_chunk,-2296,2072,chunk
mineshaft_center,-36728,33160,block_center
mineshaft_chunk,-2280,-2072,chunk
mineshaft_center,-36472,-33144,block_center
mineshaft_chunk,-2264,-2408,chunk
mineshaft_center,-36216,-38520,block_center
mineshaft_chunk,-2264,-632,chunk
mineshaft_center,-36216,-10104,block_center
mineshaft_chunk,-2248,-1528,chunk
mineshaft_center,-35960,-24440,block_center
mineshaft_chunk,-2232,-2312,chunk
mineshaft_center,-35704,-36984,block_center
mineshaft_chunk,-2232,-1560,chunk
mineshaft_center,-35704,-24952,block_center
mineshaft_chunk,-2216,1160,chunk
mineshaft_center,-35448,18568,block_center
mineshaft_chunk,-2216,2360,chunk
mineshaft_center,-35448,37768,block_center
mineshaft_chunk,-2168,-344,chunk
mineshaft_center,-34680,-5496,block_center
mineshaft_chunk,-2120,-952,chunk
mineshaft_center,-33912,-15224,block_center
